Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:31:42 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6	10	9	5	2
character 62	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 63	0:0.12198888; 1:0.87801112	0:0.36616848; 1:0.63383152	0:0.27204715; 1:0.72795285	0:0.26220622; 1:0.73779378	0:0.28915486; 1:0.71084514
character 64	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 65	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 66	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222776; 1:0.60777224	0:0.39863639; 1:0.60136361
character 67	0:0.18344299; 1:0.81655701	0:0.37750935; 1:0.62249065	0:0.33339822; 1:0.66660178	0:0.36306476; 1:0.63693524	0:0.40642126; 1:0.59357874
character 68	0:0.95944774; 1:0.04055226	0:0.10208348; 1:0.89791652	0:0.23988992; 1:0.76011008	0:0.76915255; 1:0.23084745	0:0.83475582; 1:0.16524418
character 69	0:0.9036519; 1:0.0963481	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 70	0:0.99859055; 1:0.00140945	0:0.95584953; 1:0.04415047	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 71	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 72	0:0.15047508; 1:0.84952492	0:0.00160755; 1:0.99839245	0:0.00150908; 1:0.99849092	0:0.00477254; 1:0.99522746	0:0.00374255; 1:0.99625745
character 73	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 74	0:0.25128664; 1:0.74871336	0:0.53810044; 1:0.46189956	0:0.60112595; 1:0.39887405	0:0.58461285; 1:0.41538715	0:0.62102323; 1:0.37897677
character 75	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 76	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 77	0:0.04200474; 1:0.95799526	0:0.0384877; 1:0.9615123	0:0.07428151; 1:0.92571849	0:0.20958243; 1:0.79041757	0:0.43287988; 1:0.56712012
character 78	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 79	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 80	0:0.99859055; 1:0.00140945	0:0.95584953; 1:0.04415047	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
