Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:30:07 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6
character 248	0:0.90365191; 1:0.09634809
character 249	0:0.99849706; 1:0.00150294
character 250	0:0.99840479; 1:0.00159521
character 252	0:0.18344299; 1:0.81655701
character 253	0:0.00159521; 1:0.99840479
character 254	0:0.29488303; 1:0.70511697
character 255	0:0.99796466; 1:0.00203534
character 256	0:0.08537079; 1:0.91462921
character 257	0:0.90365191; 1:0.09634809
character 258	0:0.9898828; 1:0.0101172
character 259	0:0.85241494; 1:0.14758506
character 260	0:0.18858305; 1:0.81141695
character 261	0:0.9036519; 1:0.0963481
character 262	0:0.00140945; 1:0.99859055
character 263	0:0.99859055; 1:0.00140945
character 264	0:0.99849706; 1:0.00150294
character 265	0:0.5; 1:0.5
character 266	0:0.90591531; 1:0.09408469
character 267	0:0.00159521; 1:0.99840479
character 268	0:0.5; 1:0.5
character 269	0:0.08537079; 1:0.91462921
character 270	0:0.26886031; 1:0.73113969
character 271	0:0.08537079; 1:0.91462921
character 272	0:0.08537079; 1:0.91462921
character 273	0:0.95799526; 1:0.04200474
character 274	0:0.5; 1:0.5
character 275	0:0.5; 1:0.5
character 276	0:0.00203534; 1:0.99796466
character 277	0:0.00156862; 1:0.99843138
character 278	0:0.99843138; 1:0.00156862
character 279	0:0.80471063; 1:0.19528937
character 280	0:0.99840479; 1:0.00159521
character 281	0:0.04055226; 1:0.95944774
character 282	0:0.5; 1:0.5
character 283	0:0.99849706; 1:0.00150294
character 284	0:0.08537079; 1:0.91462921
character 286	0:0.99840479; 1:0.00159521
character 287	0:0.84952492; 1:0.15047508
character 289	0:0.90365191; 1:0.09634809
character 290	0:0.00156862; 1:0.99843138
